AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                6144            33554432               34.84               34.84                0.18                0.18
                6144            67108864               34.86               34.86                0.18                0.18
               12288               65536               35.08               35.08                0.35                0.35
               12288              131072               34.81               34.81                0.35                0.35
               12288              262144               35.51               35.51                0.35                0.35
               12288              524288               35.33               35.33                0.35                0.35
               12288             1048576               35.03               35.03                0.35                0.35
               12288             2097152               35.08               35.08                0.35                0.35
               12288             4194304               35.13               35.13                0.35                0.35
               12288             8388608               35.12               35.12                0.35                0.35
               12288            16777216               35.12               35.12                0.35                0.35
               12288            33554432               35.05               35.05                0.35                0.35
               12288            67108864               35.05               35.05                0.35                0.35
               24576               65536               35.15               35.15                0.70                0.70
               24576              131072               35.16               35.16                0.70                0.70
               24576              262144               35.51               35.51                0.69                0.69
               24576              524288               35.58               35.58                0.69                0.69
               24576             1048576               35.55               35.55                0.69                0.69
               24576             2097152               35.41               35.41                0.69                0.69
               24576             4194304               35.64               35.64                0.69                0.69
               24576             8388608               35.43               35.43                0.69                0.69
               24576            16777216               35.52               35.52                0.69                0.69
               24576            33554432               35.41               35.41                0.69                0.69
               24576            67108864               35.36               35.36                0.70                0.70
               49152               65536               35.96               35.96                1.37                1.37
               49152              131072               35.56               35.56                1.38                1.38
               49152              262144               35.78               35.78                1.37                1.37
               49152              524288               36.03               36.03                1.36                1.36
               49152             1048576               35.90               35.90                1.37                1.37
               49152             2097152               36.01               36.01                1.36                1.36
               49152             4194304               35.62               35.62                1.38                1.38
               49152             8388608               35.89               35.89                1.37                1.37
               49152            16777216               35.86               35.86                1.37                1.37
               49152            33554432               35.57               35.57                1.38                1.38
               49152            67108864               35.83               35.83                1.37                1.37
               98304               65536               37.02               37.02                2.66                2.66
               98304              131072               37.20               37.20                2.64                2.64
               98304              262144               37.29               37.29                2.64                2.64
               98304              524288               37.54               37.54                2.62                2.62
               98304             1048576               37.21               37.21                2.64                2.64
               98304             2097152               37.31               37.31                2.63                2.63
               98304             4194304               37.19               37.19                2.64                2.64
               98304             8388608               37.29               37.29                2.64                2.64
               98304            16777216               36.83               36.83                2.67                2.67
               98304            33554432               37.41               37.41                2.63                2.63
               98304            67108864               36.93               36.93                2.66                2.66
              196608               65536               39.35               39.35                5.00                5.00
              196608              131072               39.57               39.57                4.97                4.97
              196608              262144               39.74               39.74                4.95                4.95
              196608              524288               39.54               39.54                4.97                4.97
              196608             1048576               39.63               39.63                4.96                4.96
              196608             2097152               39.43               39.43                4.99                4.99
              196608             4194304               39.49               39.49                4.98                4.98
              196608             8388608               39.60               39.60                4.97                4.97
              196608            16777216               39.62               39.62                4.96                4.96
              196608            33554432               39.33               39.33                5.00                5.00
              196608            67108864               39.64               39.64                4.96                4.96
              393216               65536               42.53               42.53                9.25                9.25
              393216              131072               42.64               42.64                9.22                9.22
              393216              262144               42.90               42.90                9.17                9.17
              393216              524288               42.60               42.60                9.23                9.23
