AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184              262144             2724.66             2724.66              147.78              147.78
           402653184              524288             2158.41             2158.41              186.55              186.55
           402653184             1048576             2070.46             2070.46              194.48              194.48
           402653184             2097152             2076.91             2076.91              193.87              193.87
           402653184             4194304             2256.69             2256.69              178.43              178.43
           805306368               65536            12162.34            12162.34               66.21               66.21
           805306368              131072             7783.30             7783.30              103.47              103.47
           805306368              262144             5453.68             5453.68              147.66              147.66
           805306368              524288             4180.78             4180.78              192.62              192.62
           805306368             1048576             4040.28             4040.28              199.32              199.32
           805306368             2097152             3963.58             3963.58              203.18              203.18
           805306368             4194304             4025.96             4025.96              200.03              200.03
          1610612736               65536            24341.66            24341.66               66.17               66.17
          1610612736              131072            15831.09            15831.09              101.74              101.74
          1610612736              262144            10990.54            10990.54              146.55              146.55
          1610612736              524288             8302.32             8302.32              194.00              194.00
          1610612736             1048576             8001.62             8001.62              201.29              201.29
          1610612736             2097152             7768.18             7768.18              207.33              207.33
          1610612736             4194304             7639.76             7639.76              210.82              210.82
          3221225472               65536            48690.06            48690.06               66.16               66.16
          3221225472              131072            31408.24            31408.24              102.56              102.56
          3221225472              262144            22068.43            22068.43              145.97              145.97
          3221225472              524288            16493.59            16493.59              195.30              195.30
          3221225472             1048576            15927.84            15927.84              202.24              202.24
          3221225472             2097152            15361.42            15361.42              209.70              209.70
          3221225472             4194304            14981.67            14981.67              215.01              215.01

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=3
nblocks=42, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               77.30               77.30                0.04                0.04
                3072              131072               77.06               77.06                0.04                0.04
                3072              262144               77.21               77.21                0.04                0.04
                3072              524288               77.22               77.22                0.04                0.04
                3072             1048576               77.17               77.17                0.04                0.04
                3072             2097152               77.17               77.17                0.04                0.04
                3072             4194304               77.55               77.55                0.04                0.04
                6144               65536               77.48               77.48                0.08                0.08
                6144              131072               77.61               77.61                0.08                0.08
                6144              262144               77.36               77.36                0.08                0.08
                6144              524288               77.42               77.42                0.08                0.08
                6144             1048576               77.73               77.73                0.08                0.08
                6144             2097152               77.73               77.73                0.08                0.08
                6144             4194304               77.29               77.29                0.08                0.08
               12288               65536               77.66               77.66                0.16                0.16
               12288              131072               77.76               77.76                0.16                0.16
               12288              262144               77.56               77.56                0.16                0.16
               12288              524288               77.57               77.57                0.16                0.16
               12288             1048576               77.98               77.98                0.16                0.16
               12288             2097152               77.72               77.72                0.16                0.16
               12288             4194304               77.53               77.53                0.16                0.16
               24576               65536               77.89               77.89                0.32                0.32
               24576              131072               78.18               78.18                0.31                0.31
