AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
              393216            67108864               44.19               44.19                8.90                8.90
              786432               65536               47.74               47.74               16.47               16.47
              786432              131072               48.22               48.22               16.31               16.31
              786432              262144               48.28               48.28               16.29               16.29
              786432              524288               48.24               48.24               16.30               16.30
              786432             1048576               47.95               47.95               16.40               16.40
              786432             2097152               48.11               48.11               16.35               16.35
              786432             4194304               48.17               48.17               16.33               16.33
              786432             8388608               48.23               48.23               16.31               16.31
              786432            16777216               47.98               47.98               16.39               16.39
              786432            33554432               47.97               47.97               16.39               16.39
              786432            67108864               48.42               48.42               16.24               16.24
             1572864               65536               62.03               62.03               25.35               25.35
             1572864              131072               55.12               55.12               28.53               28.53
             1572864              262144               54.60               54.60               28.81               28.81
             1572864              524288               55.49               55.49               28.34               28.34
             1572864             1048576               56.47               56.47               27.85               27.85
             1572864             2097152               54.44               54.44               28.89               28.89
             1572864             4194304               54.25               54.25               28.99               28.99
             1572864             8388608               54.82               54.82               28.69               28.69
             1572864            16777216               55.66               55.66               28.26               28.26
             1572864            33554432               54.08               54.08               29.09               29.09
             1572864            67108864               54.82               54.82               28.69               28.69
             3145728               65536               79.50               79.50               39.57               39.57
             3145728              131072               73.65               73.65               42.71               42.71
             3145728              262144               68.50               68.50               45.93               45.93
             3145728              524288               67.48               67.48               46.62               46.62
             3145728             1048576               68.21               68.21               46.12               46.12
             3145728             2097152               66.62               66.62               47.22               47.22
             3145728             4194304               66.28               66.28               47.46               47.46
             3145728             8388608               68.25               68.25               46.09               46.09
             3145728            16777216               67.62               67.62               46.52               46.52
             3145728            33554432               68.50               68.50               45.93               45.93
             3145728            67108864               67.33               67.33               46.72               46.72
             6291456               65536              128.17              128.17               49.09               49.09
             6291456              131072               97.33               97.33               64.64               64.64
             6291456              262144               95.50               95.50               65.88               65.88
             6291456              524288               94.57               94.57               66.53               66.53
             6291456             1048576               93.74               93.74               67.12               67.12
             6291456             2097152               92.53               92.53               67.99               67.99
             6291456             4194304               91.91               91.91               68.45               68.45
             6291456             8388608               91.40               91.40               68.83               68.83
             6291456            16777216               92.23               92.23               68.21               68.21
             6291456            33554432               90.81               90.81               69.28               69.28
             6291456            67108864               91.28               91.28               68.93               68.93
            12582912               65536              220.52              220.52               57.06               57.06
